,date,county,city,gender,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
1096,2021-03-09,Suffolk,Chelsea,Female,17783.0,3526.0,2035.0,,,1491.0
1097,2021-03-09,Suffolk,Chelsea,Male,19135.0,2651.0,1346.0,,,1305.0
1098,2021-03-09,Suffolk,Chelsea,Other,,,,,,
1099,2021-03-09,Suffolk,Chelsea,Total,36918.0,,,,,
2440,2021-03-16,Suffolk,Chelsea,Female,17783.0,4011.0,2420.0,,,1591.0
2441,2021-03-16,Suffolk,Chelsea,Male,19135.0,3057.0,1608.0,,,1449.0
2442,2021-03-16,Suffolk,Chelsea,Other,,,,,,
2443,2021-03-16,Suffolk,Chelsea,Total,36918.0,,,,,
3784,2021-03-23,Suffolk,Chelsea,Female,17783.0,4594.0,2858.0,,,1736.0
3785,2021-03-23,Suffolk,Chelsea,Male,19135.0,3526.0,1969.0,,,1557.0
3786,2021-03-23,Suffolk,Chelsea,Other,,,,,,
3787,2021-03-23,Suffolk,Chelsea,Total,36918.0,,,,,
5128,2021-03-30,Suffolk,Chelsea,Female,17783.0,5311.0,3304.0,,,2007.0
5129,2021-03-30,Suffolk,Chelsea,Male,19135.0,4120.0,2405.0,,,1715.0
5130,2021-03-30,Suffolk,Chelsea,Other,,,,,,
5131,2021-03-30,Suffolk,Chelsea,Total,36918.0,,,,,
6472,2021-04-06,Suffolk,Chelsea,Female,17783.0,6263.0,3638.0,,,2625.0
6473,2021-04-06,Suffolk,Chelsea,Male,19135.0,5005.0,2739.0,,,2266.0
6474,2021-04-06,Suffolk,Chelsea,Other,,,,,,
6475,2021-04-06,Suffolk,Chelsea,Total,36918.0,,,,,
7816,2021-04-13,Suffolk,Chelsea,Female,17783.0,7698.0,4501.0,,,3197.0
7817,2021-04-13,Suffolk,Chelsea,Male,19135.0,6449.0,3468.0,,,2981.0
7818,2021-04-13,Suffolk,Chelsea,Other,,31.0,,,,
7819,2021-04-13,Suffolk,Chelsea,Total,36918.0,14178.0,,,,
9160,2021-04-20,Suffolk,Chelsea,Female,17783.0,8989.0,5072.0,,,3917.0
9161,2021-04-20,Suffolk,Chelsea,Male,19135.0,7871.0,4007.0,,,3864.0
9162,2021-04-20,Suffolk,Chelsea,Other,,47.0,,,,
9163,2021-04-20,Suffolk,Chelsea,Total,36918.0,16907.0,,,,
10504,2021-04-27,Suffolk,Chelsea,Female,17783.0,9763.0,5890.0,,,3873.0
10505,2021-04-27,Suffolk,Chelsea,Male,19135.0,8756.0,4772.0,,,3984.0
10506,2021-04-27,Suffolk,Chelsea,Other,,53.0,,,,
10507,2021-04-27,Suffolk,Chelsea,Total,36918.0,18572.0,,,,
11848,2021-05-04,Suffolk,Chelsea,Female,17783.0,10285.0,7041.0,,,3244.0
11849,2021-05-04,Suffolk,Chelsea,Male,19135.0,9332.0,5915.0,,,3417.0
11850,2021-05-04,Suffolk,Chelsea,Other,,56.0,32.0,,,
11851,2021-05-04,Suffolk,Chelsea,Total,36918.0,19673.0,12988.0,,,
13192,2021-05-11,Suffolk,Chelsea,Female,17783.0,10844.0,8169.0,,,2675.0
13193,2021-05-11,Suffolk,Chelsea,Male,19135.0,9975.0,7138.0,,,2837.0
13194,2021-05-11,Suffolk,Chelsea,Other,,60.0,32.0,,,
13195,2021-05-11,Suffolk,Chelsea,Total,36918.0,20879.0,15339.0,,,
14536,2021-05-18,Suffolk,Chelsea,Female,17783.0,11662.0,8925.0,,,2737.0
14537,2021-05-18,Suffolk,Chelsea,Male,19135.0,10882.0,7916.0,,,2966.0
14538,2021-05-18,Suffolk,Chelsea,Other,,77.0,37.0,,,40.0
14539,2021-05-18,Suffolk,Chelsea,Total,36918.0,22621.0,16878.0,,,5743.0
15880,2021-05-25,Suffolk,Chelsea,Female,17783.0,12332.0,9384.0,,,2948.0
15881,2021-05-25,Suffolk,Chelsea,Male,19135.0,11522.0,8477.0,,,3045.0
15882,2021-05-25,Suffolk,Chelsea,Other,,80.0,41.0,,,39.0
15883,2021-05-25,Suffolk,Chelsea,Total,36918.0,23934.0,17902.0,,,6032.0
17228,2021-06-01,Suffolk,Chelsea,Female,17783.0,12765.0,9935.0,,,2830.0
17229,2021-06-01,Suffolk,Chelsea,Male,19135.0,12018.0,9095.0,,,2923.0
17230,2021-06-01,Suffolk,Chelsea,Other,,91.0,49.0,,,42.0
17231,2021-06-01,Suffolk,Chelsea,Total,36918.0,24874.0,19079.0,,,5795.0
18576,2021-06-08,Suffolk,Chelsea,Female,17783.0,13176.0,10560.0,,,2616.0
18577,2021-06-08,Suffolk,Chelsea,Male,19135.0,12563.0,9888.0,,,2675.0
18578,2021-06-08,Suffolk,Chelsea,Other,,106.0,58.0,,,48.0
18579,2021-06-08,Suffolk,Chelsea,Total,36918.0,25845.0,20506.0,,,5339.0
19924,2021-06-15,Suffolk,Chelsea,Female,17783.0,13471.0,11186.0,,,2285.0
19925,2021-06-15,Suffolk,Chelsea,Male,19135.0,12922.0,10583.0,,,2339.0
19926,2021-06-15,Suffolk,Chelsea,Other,,113.0,61.0,,,52.0
19927,2021-06-15,Suffolk,Chelsea,Total,36918.0,26506.0,21830.0,,,4676.0
21272,2021-06-22,Suffolk,Chelsea,Female,17783.0,13671.0,11559.0,,,2112.0
21273,2021-06-22,Suffolk,Chelsea,Male,19135.0,13142.0,10975.0,,,2167.0
21274,2021-06-22,Suffolk,Chelsea,Other,,117.0,64.0,,,53.0
21275,2021-06-22,Suffolk,Chelsea,Total,36918.0,26930.0,22598.0,,,4332.0
22620,2021-06-29,Suffolk,Chelsea,Female,17783.0,13859.0,11859.0,,,2000.0
22621,2021-06-29,Suffolk,Chelsea,Male,19135.0,13308.0,11279.0,,,2029.0
22622,2021-06-29,Suffolk,Chelsea,Other,,121.0,68.0,,,53.0
22623,2021-06-29,Suffolk,Chelsea,Total,36918.0,27288.0,23206.0,,,4082.0
23968,2021-07-06,Suffolk,Chelsea,Female,17783.0,13981.0,12014.0,,,1967.0
23969,2021-07-06,Suffolk,Chelsea,Male,19135.0,13439.0,11464.0,,,1975.0
23970,2021-07-06,Suffolk,Chelsea,Other,,123.0,70.0,,,53.0
23971,2021-07-06,Suffolk,Chelsea,Total,36918.0,27543.0,23548.0,,,3995.0
25316,2021-07-13,Suffolk,Chelsea,Female,17783.0,14152.0,12192.0,,,1960.0
25317,2021-07-13,Suffolk,Chelsea,Male,19135.0,13573.0,11648.0,,,1925.0
25318,2021-07-13,Suffolk,Chelsea,Other,,123.0,73.0,,,50.0
25319,2021-07-13,Suffolk,Chelsea,Total,36918.0,27848.0,23913.0,,,3935.0
26664,2021-07-20,Suffolk,Chelsea,Female,17783.0,14312.0,12343.0,,,1969.0
26665,2021-07-20,Suffolk,Chelsea,Male,19135.0,13741.0,11785.0,,,1956.0
26666,2021-07-20,Suffolk,Chelsea,Other,,125.0,74.0,,,51.0
26667,2021-07-20,Suffolk,Chelsea,Total,36918.0,28178.0,24202.0,,,3976.0
28012,2021-07-27,Suffolk,Chelsea,Female,17783.0,14508.0,12461.0,,,2047.0
28013,2021-07-27,Suffolk,Chelsea,Male,19135.0,13910.0,11896.0,,,2014.0
28014,2021-07-27,Suffolk,Chelsea,Other,,124.0,74.0,,,50.0
28015,2021-07-27,Suffolk,Chelsea,Total,36918.0,28542.0,24431.0,,,4111.0
29360,2021-08-03,Suffolk,Chelsea,Female,17783.0,14698.0,12594.0,,,2104.0
29361,2021-08-03,Suffolk,Chelsea,Male,19135.0,14109.0,12014.0,,,2095.0
29362,2021-08-03,Suffolk,Chelsea,Other,,124.0,74.0,,,50.0
29363,2021-08-03,Suffolk,Chelsea,Total,36918.0,28931.0,24682.0,,,4249.0
30708,2021-08-10,Suffolk,Chelsea,Female,17783.0,14908.0,12730.0,,,2178.0
30709,2021-08-10,Suffolk,Chelsea,Male,19135.0,14347.0,12156.0,,,2191.0
30710,2021-08-10,Suffolk,Chelsea,Other,,125.0,76.0,,,49.0
30711,2021-08-10,Suffolk,Chelsea,Total,36918.0,29380.0,24962.0,,,4418.0
32056,2021-08-17,Suffolk,Chelsea,Female,17783.0,15060.0,12901.0,,,2159.0
32057,2021-08-17,Suffolk,Chelsea,Male,19135.0,14519.0,12285.0,,,2234.0
32058,2021-08-17,Suffolk,Chelsea,Other,,122.0,74.0,,,48.0
32059,2021-08-17,Suffolk,Chelsea,Total,36918.0,29701.0,25260.0,,,4441.0
33404,2021-08-24,Suffolk,Chelsea,Female,17783.0,15178.0,13034.0,,,2144.0
33405,2021-08-24,Suffolk,Chelsea,Male,19135.0,14651.0,12433.0,,,2218.0
33406,2021-08-24,Suffolk,Chelsea,Other,,122.0,74.0,,,48.0
33407,2021-08-24,Suffolk,Chelsea,Total,36918.0,29951.0,25541.0,,,4410.0
34752,2021-08-31,Suffolk,Chelsea,Female,17783.0,15308.0,13211.0,,,2097.0
34753,2021-08-31,Suffolk,Chelsea,Male,19135.0,14788.0,12618.0,,,2170.0
34754,2021-08-31,Suffolk,Chelsea,Other,,121.0,73.0,,,48.0
34755,2021-08-31,Suffolk,Chelsea,Total,36918.0,30217.0,25902.0,,,4315.0
36100,2021-09-07,Suffolk,Chelsea,Female,17783.0,15403.0,13319.0,,,2084.0
36101,2021-09-07,Suffolk,Chelsea,Male,19135.0,14866.0,12748.0,,,2118.0
36102,2021-09-07,Suffolk,Chelsea,Other,,123.0,75.0,,,48.0
36103,2021-09-07,Suffolk,Chelsea,Total,36918.0,30392.0,26142.0,,,4250.0
37448,2021-09-14,Suffolk,Chelsea,Female,17783.0,15516.0,13420.0,,,2096.0
37449,2021-09-14,Suffolk,Chelsea,Male,19135.0,14965.0,12882.0,,,2083.0
37450,2021-09-14,Suffolk,Chelsea,Other,,120.0,74.0,,,46.0
37451,2021-09-14,Suffolk,Chelsea,Total,36918.0,30601.0,26376.0,,,4225.0
38796,2021-09-21,Suffolk,Chelsea,Female,17783.0,15644.0,13534.0,,,2110.0
38797,2021-09-21,Suffolk,Chelsea,Male,19135.0,15082.0,12999.0,,,2083.0
38798,2021-09-21,Suffolk,Chelsea,Other,,119.0,73.0,,,46.0
38799,2021-09-21,Suffolk,Chelsea,Total,36918.0,30845.0,26606.0,,,4239.0
40144,2021-09-28,Suffolk,Chelsea,Female,17783.0,15751.0,13624.0,,,2127.0
40145,2021-09-28,Suffolk,Chelsea,Male,19135.0,15310.0,13195.0,,,2115.0
40146,2021-09-28,Suffolk,Chelsea,Other,,118.0,73.0,,,45.0
40147,2021-09-28,Suffolk,Chelsea,Total,36918.0,31179.0,26892.0,,,4287.0
41492,2021-10-05,Suffolk,Chelsea,Female,17783.0,15830.0,13691.0,,,2139.0
41493,2021-10-05,Suffolk,Chelsea,Male,19135.0,15387.0,13258.0,,,2129.0
41494,2021-10-05,Suffolk,Chelsea,Other,,115.0,71.0,,,44.0
41495,2021-10-05,Suffolk,Chelsea,Total,36918.0,31332.0,27020.0,,,4312.0
42840,2021-10-12,Suffolk,Chelsea,Female,17783.0,15932.0,13794.0,,,2138.0
42841,2021-10-12,Suffolk,Chelsea,Male,19135.0,15480.0,13343.0,,,2137.0
42842,2021-10-12,Suffolk,Chelsea,Other,,115.0,71.0,,,44.0
42843,2021-10-12,Suffolk,Chelsea,Total,36918.0,31527.0,27208.0,,,4319.0
44188,2021-10-19,Suffolk,Chelsea,Female,17783.0,16003.0,13872.0,,,2131.0
44189,2021-10-19,Suffolk,Chelsea,Male,19135.0,15541.0,13417.0,,,2124.0
44190,2021-10-19,Suffolk,Chelsea,Other,,113.0,69.0,,,44.0
44191,2021-10-19,Suffolk,Chelsea,Total,36918.0,31657.0,27358.0,,,4299.0
45536,2021-10-26,Suffolk,Chelsea,Female,17783.0,16089.0,13955.0,,,2134.0
45537,2021-10-26,Suffolk,Chelsea,Male,19135.0,15662.0,13529.0,,,2133.0
45538,2021-10-26,Suffolk,Chelsea,Other,,113.0,69.0,,,44.0
45539,2021-10-26,Suffolk,Chelsea,Total,36918.0,31864.0,27553.0,,,4311.0
46884,2021-11-02,Suffolk,Chelsea,Female,17783.0,16206.0,14025.0,,,2181.0
46885,2021-11-02,Suffolk,Chelsea,Male,19135.0,15793.0,13608.0,,,2185.0
46886,2021-11-02,Suffolk,Chelsea,Other,,114.0,70.0,,,44.0
46887,2021-11-02,Suffolk,Chelsea,Total,36918.0,32113.0,27703.0,,,4410.0
48232,2021-11-09,Suffolk,Chelsea,Female,17783.0,16405.0,14067.0,,,2338.0
48233,2021-11-09,Suffolk,Chelsea,Male,19135.0,15985.0,13684.0,,,2301.0
48234,2021-11-09,Suffolk,Chelsea,Other,,114.0,70.0,,,44.0
48235,2021-11-09,Suffolk,Chelsea,Total,36918.0,32504.0,27821.0,,,4683.0
49580,2021-11-16,Suffolk,Chelsea,Female,17783.0,16591.0,14168.0,,,2423.0
49581,2021-11-16,Suffolk,Chelsea,Male,19135.0,16187.0,13800.0,,,2387.0
49582,2021-11-16,Suffolk,Chelsea,Other,,115.0,71.0,,,44.0
49583,2021-11-16,Suffolk,Chelsea,Total,36918.0,32893.0,28039.0,,,4854.0
50928,2021-11-23,Suffolk,Chelsea,Female,17783.0,16876.0,14212.0,,,2664.0
50929,2021-11-23,Suffolk,Chelsea,Male,19135.0,16472.0,13878.0,,,2594.0
50930,2021-11-23,Suffolk,Chelsea,Other,,112.0,67.0,,,45.0
50931,2021-11-23,Suffolk,Chelsea,Total,36918.0,33460.0,28157.0,,,5303.0
52276,2021-11-30,Suffolk,Chelsea,Female,17783.0,17012.0,14311.0,,,2701.0
52277,2021-11-30,Suffolk,Chelsea,Male,19135.0,16610.0,13963.0,,,2647.0
52278,2021-11-30,Suffolk,Chelsea,Other,,111.0,66.0,,,45.0
52279,2021-11-30,Suffolk,Chelsea,Total,36918.0,33733.0,28340.0,,,5393.0
53624,2021-12-07,Suffolk,Chelsea,Female,17783.0,17135.0,14445.0,,,2690.0
53625,2021-12-07,Suffolk,Chelsea,Male,19135.0,16787.0,14152.0,,,2635.0
53626,2021-12-07,Suffolk,Chelsea,Other,,106.0,63.0,,,43.0
53627,2021-12-07,Suffolk,Chelsea,Total,36918.0,34028.0,28660.0,,,5368.0
54972,2021-12-14,Suffolk,Chelsea,Female,17783.0,17393.0,14605.0,,,2788.0
54973,2021-12-14,Suffolk,Chelsea,Male,19135.0,17058.0,14293.0,,,2765.0
54974,2021-12-14,Suffolk,Chelsea,Other,,103.0,59.0,,,44.0
54975,2021-12-14,Suffolk,Chelsea,Total,36918.0,34554.0,28957.0,,,5597.0
56320,2021-12-21,Suffolk,Chelsea,Female,17783.0,17558.0,14683.0,3879.0,,2875.0
56321,2021-12-21,Suffolk,Chelsea,Male,19135.0,17228.0,14346.0,3416.0,,2882.0
56322,2021-12-21,Suffolk,Chelsea,Other,,104.0,60.0,,,44.0
56323,2021-12-21,Suffolk,Chelsea,Total,36918.0,34890.0,29089.0,7303.0,,5801.0
57668,2021-12-28,Suffolk,Chelsea,Female,17783.0,17672.0,14765.0,4185.0,,2907.0
